Avg EMG - Pod01,Avg EMG - Pod02,Avg EMG - Pod03,Avg EMG - Pod04,Avg EMG - Pod05,Avg EMG - Pod06,Avg EMG - Pod07,Avg EMG - Pod08,
-1,-1,-1,-1,-2,-1,-1,0,
-1,-1,-1,-1,-2,-1,-1,0,
0,-1,-2,-3,-3,0,0,0,
0,0,0,-1,0,0,0,0,
0,0,0,0,1,0,0,0,
0,0,-1,-1,-1,-1,-1,0,
-1,-2,-5,-3,0,1,1,0,
0,0,2,1,8,11,3,0,
-1,-1,-2,-1,-1,-1,-2,0,
-6,-9,-9,-2,0,0,-1,0,
2,5,4,-1,-2,0,0,0,
-5,0,2,0,-1,0,-1,0,
-1,0,0,0,0,0,0,0,
0,0,0,0,-1,0,0,0,
4,4,-3,0,-1,3,1,0,
-3,1,-3,0,0,0,0,0,
0,-1,0,-1,-1,0,-1,0,
0,0,0,0,-1,-2,-1,0,
-3,0,-1,-1,-1,-3,0,0,
-1,-1,-1,0,5,0,0,0,
-1,-1,-1,-1,-2,-1,-1,0,
0,-1,-2,-3,-3,0,0,0,
0,0,0,-1,0,0,0,0,
0,0,0,0,1,0,0,0,
0,0,-1,-1,-1,-1,-1,0,
-1,-2,-5,-3,0,1,1,0,
0,0,2,1,8,11,3,0,
-1,-1,-2,-1,-1,-1,-2,0,
-6,-9,-9,-2,0,0,-1,0,
2,5,4,-1,-2,0,0,0,
-5,0,2,0,-1,0,-1,0,
-1,0,0,0,0,0,0,0,
0,0,0,0,-1,0,0,0,
4,4,-3,0,-1,3,1,0,
-3,1,-3,0,0,0,0,0,
0,-1,0,-1,-1,0,-1,0,
0,0,0,0,-1,-2,-1,0,
-3,0,-1,-1,-1,-3,0,0,
-1,-1,-1,0,5,0,0,0,
1,0,0,1,0,0,0,0,
0,0,0,-1,-1,0,0,0,
0,-1,0,-1,-5,-1,0,0,
